10:05:33 | lb01 | web01 | 0.008859s
10:05:35 | lb01 | web02 | 0.004503s
10:05:37 | lb01 | web03 | 0.004497s
10:05:38 | lb01 | web04 | 0.004547s
10:05:40 | lb01 | web05 | 0.004470s
10:05:41 | lb01 | web01 | 0.004581s
10:05:43 | lb01 | web02 | 0.004225s
10:05:44 | lb01 | web03 | 0.004264s
10:05:46 | lb01 | web04 | 0.004521s
10:05:48 | lb01 | web05 | 0.004628s
10:05:49 | lb01 | web01 | 0.004580s
10:05:51 | lb01 | web02 | 0.004422s
10:05:52 | lb01 | web03 | 0.005226s
10:05:54 | lb01 | web04 | 0.004463s
10:05:56 | lb01 | web05 | 0.004253s
10:05:57 | lb01 | web01 | 0.004140s
10:05:59 | lb01 | web02 | 0.006290s
10:06:00 | FAILED
10:06:02 | FAILED
10:06:03 | FAILED
10:06:04 | lb02 | web01 | 0.010593s
10:06:06 | lb02 | web02 | 0.004368s
10:06:07 | lb02 | web03 | 0.004527s
10:06:09 | lb02 | web04 | 0.004357s
10:06:11 | lb02 | web05 | 0.003954s
10:06:12 | lb02 | web01 | 0.004803s
10:06:14 | lb02 | web02 | 0.004658s
10:06:15 | lb02 | web03 | 0.004453s
10:06:17 | lb02 | web04 | 0.004647s
10:06:19 | lb02 | web05 | 0.005967s
10:06:20 | lb02 | web01 | 0.004536s
10:06:22 | lb02 | web02 | 0.005217s
10:06:23 | lb01 | web01 | 0.005403s
10:06:25 | lb01 | web02 | 0.004226s
10:06:27 | lb01 | web03 | 0.004614s
10:06:28 | lb01 | web04 | 0.004364s
10:06:30 | lb01 | web05 | 0.004262s
